EntropySampling_run_1,EntropySampling_run_2,EntropySampling_run_3,EntropySampling_run_4,EntropySampling_run_5,EntropySampling_run_6,EntropySampling_run_7,EntropySampling_run_8,EntropySampling_run_9,EntropySampling_run_10
0.6561,0.5254,0.5783,0.5052,0.5465,0.5804,0.5602,0.611,0.5631,0.5565
0.6261,0.6235,0.5482,0.615,0.5953,0.5677,0.6262,0.6603,0.6317,0.6488
0.6689,0.6551,0.6356,0.673,0.632,0.6693,0.6126,0.5432,0.6107,0.5986
0.6635,0.4943,0.6422,0.6377,0.6409,0.6174,0.6201,0.6281,0.6305,0.6133
0.621,0.6512,0.631,0.6091,0.6275,0.6027,0.6381,0.6006,0.5685,0.5998
0.6734,0.5877,0.6386,0.6696,0.6205,0.5986,0.6155,0.6349,0.6404,0.6446
0.6141,0.6092,0.6175,0.634,0.6259,0.6369,0.627,0.643,0.6693,0.6016
0.6425,0.6645,0.6655,0.547,0.6251,0.633,0.5732,0.6343,0.5882,0.615
0.6373,0.6286,0.6709,0.6268,0.6695,0.6504,0.5981,0.5906,0.6639,0.6698
0.6853,0.5689,0.6197,0.5867,0.5947,0.6765,0.6083,0.5912,0.6527,0.6543
0.6779,0.6577,0.5909,0.6133,0.578,0.6331,0.602,0.6721,0.5903,0.6824
0.6381,0.648,0.6224,0.6627,0.6589,0.6736,0.6567,0.6654,0.6046,0.646
0.6118,0.6462,0.6757,0.6506,0.6514,0.6803,0.6372,0.6402,0.6397,0.6679
0.6849,0.5948,0.6608,0.6696,0.594,0.6698,0.6478,0.6691,0.6009,0.663
0.6505,0.6755,0.5409,0.5976,0.6489,0.6906,0.6613,0.6623,0.5838,0.6399
0.7052,0.6778,0.6892,0.6592,0.6864,0.6439,0.6587,0.6711,0.6888,0.6497
0.6513,0.5706,0.6329,0.6764,0.6929,0.6553,0.6989,0.6821,0.679,0.6367
0.6971,0.6649,0.6809,0.7006,0.7086,0.6838,0.681,0.7025,0.627,0.6892
0.7029,0.6128,0.6717,0.7067,0.6632,0.6641,0.6632,0.6747,0.6841,0.6804
0.6232,0.6816,0.6468,0.6956,0.6875,0.703,0.6953,0.6914,0.6511,0.6925
0.635,0.6239,0.6849,0.6885,0.6868,0.6415,0.684,0.6631,0.6682,0.6974
0.6938,0.7082,0.6895,0.6978,0.6818,0.6663,0.6383,0.7004,0.6685,0.6793
0.659,0.666,0.7046,0.6728,0.7015,0.6878,0.6763,0.6872,0.6878,0.6782
0.6754,0.6634,0.6598,0.6943,0.6337,0.7066,0.6574,0.6858,0.656,0.6984
0.6864,0.7251,0.6791,0.7042,0.7019,0.6882,0.7013,0.6755,0.6949,0.6511
0.7041,0.6935,0.6725,0.6917,0.7016,0.642,0.6909,0.6536,0.6824,0.6337
0.7026,0.7083,0.7108,0.6786,0.6687,0.6919,0.7276,0.7138,0.7176,0.7007
0.6901,0.6842,0.691,0.7126,0.6897,0.6652,0.6274,0.7293,0.6946,0.7046
0.7174,0.696,0.707,0.7236,0.6997,0.6903,0.6973,0.7014,0.7105,0.629
0.6927,0.7116,0.7167,0.7047,0.678,0.7197,0.6959,0.6997,0.6803,0.7164
0.6855,0.6334,0.7129,0.6736,0.6051,0.6792,0.6555,0.6578,0.6926,0.6775
0.7095,0.6701,0.7249,0.7029,0.6708,0.7111,0.6535,0.6825,0.69,0.6956
0.7216,0.6899,0.6966,0.7218,0.7131,0.7096,0.689,0.6949,0.6843,0.7001
0.684,0.7207,0.737,0.6926,0.7112,0.6729,0.7181,0.7324,0.7005,0.7088
0.6494,0.6933,0.712,0.7495,0.6853,0.7155,0.7196,0.7015,0.705,0.6839
0.6184,0.7079,0.7086,0.7195,0.7074,0.7145,0.7005,0.7232,0.7289,0.7193
0.7202,0.7052,0.7157,0.723,0.7332,0.7262,0.7187,0.6773,0.7227,0.7091
0.7405,0.7225,0.7175,0.747,0.7324,0.7419,0.7162,0.7124,0.7035,0.7231
0.7309,0.7197,0.7186,0.7455,0.7198,0.7375,0.7224,0.6977,0.7272,0.7273
0.7205,0.6828,0.7247,0.6963,0.7291,0.7172,0.6558,0.7038,0.7341,0.7521
0.7327,0.6947,0.7214,0.7166,0.7276,0.7423,0.6084,0.7122,0.7331,0.7259
0.7125,0.7353,0.6742,0.7263,0.7219,0.7386,0.7367,0.7167,0.7193,0.7433
0.725,0.7272,0.7006,0.7138,0.7286,0.7374,0.7048,0.722,0.7111,0.7275
0.7083,0.7371,0.7164,0.7282,0.7342,0.7203,0.7289,0.7191,0.6696,0.7447
0.734,0.7443,0.7073,0.7528,0.7047,0.7149,0.7185,0.7288,0.746,0.7279
0.7534,0.7167,0.7252,0.7277,0.7365,0.7236,0.7355,0.7358,0.7244,0.7386
0.6709,0.6463,0.6897,0.7301,0.7042,0.7194,0.7543,0.7196,0.7291,0.6952
0.7289,0.7419,0.7314,0.7382,0.7187,0.724,0.7137,0.7346,0.7308,0.7163
0.7538,0.7152,0.7342,0.7268,0.7232,0.7291,0.7505,0.7442,0.7,0.739
0.7146,0.7375,0.6669,0.7541,0.7352,0.7461,0.718,0.7502,0.7256,0.7434
