HumanlikeLearning_I_run_1,HumanlikeLearning_I_run_2,HumanlikeLearning_I_run_3,HumanlikeLearning_I_run_4,HumanlikeLearning_I_run_5,HumanlikeLearning_I_run_6,HumanlikeLearning_I_run_7,HumanlikeLearning_I_run_8,HumanlikeLearning_I_run_9,HumanlikeLearning_I_run_10
0.8061,0.7826,0.7817,0.7612,0.7882,0.8188,0.7631,0.794,0.7768,0.7972
0.8426,0.7864,0.8205,0.8276,0.8302,0.7813,0.7594,0.8176,0.8317,0.8432
0.7717,0.8437,0.8398,0.8466,0.8561,0.8464,0.8524,0.8021,0.8361,0.7946
0.8301,0.7795,0.8105,0.827,0.8841,0.8356,0.8308,0.8372,0.8513,0.8389
0.86,0.8742,0.8179,0.8756,0.8768,0.8457,0.8721,0.849,0.8703,0.8556
0.8617,0.8669,0.8801,0.8629,0.8562,0.8376,0.8546,0.822,0.8284,0.8299
0.8393,0.8668,0.8584,0.7865,0.8574,0.8372,0.7948,0.8639,0.877,0.8768
0.8654,0.8891,0.8534,0.843,0.8665,0.8678,0.8095,0.8091,0.8986,0.8682
0.8557,0.8939,0.8737,0.8956,0.889,0.861,0.8829,0.8975,0.8599,0.8882
0.8932,0.9235,0.8827,0.8871,0.8787,0.8892,0.8486,0.8644,0.8721,0.8726
0.8954,0.8619,0.8986,0.9105,0.8892,0.9001,0.8932,0.9087,0.9042,0.8886
0.9093,0.9089,0.894,0.8874,0.8904,0.9112,0.9066,0.9188,0.8544,0.914
0.904,0.8939,0.901,0.899,0.885,0.9213,0.8944,0.8898,0.8864,0.8969
0.9148,0.9144,0.9131,0.9111,0.9092,0.9133,0.8493,0.9096,0.8863,0.9082
0.913,0.925,0.8947,0.8597,0.8846,0.9077,0.902,0.9063,0.8807,0.8232
0.9125,0.9092,0.9096,0.8953,0.9109,0.9181,0.9149,0.9125,0.9097,0.9228
0.9306,0.8977,0.9209,0.9044,0.8774,0.9117,0.9272,0.9282,0.9179,0.8989
0.8974,0.9202,0.9283,0.9024,0.9066,0.8867,0.9249,0.9216,0.9185,0.9008
0.9035,0.9172,0.9142,0.9239,0.9192,0.9012,0.9218,0.9239,0.9346,0.919
0.9225,0.9228,0.9267,0.9377,0.9313,0.938,0.9337,0.9133,0.921,0.9195
0.9383,0.8793,0.9368,0.9261,0.9392,0.9093,0.9195,0.9,0.9134,0.9208
0.9301,0.9307,0.9239,0.9173,0.9276,0.9235,0.9337,0.9387,0.9281,0.9341
0.9338,0.9217,0.9387,0.9271,0.934,0.933,0.9437,0.9355,0.9337,0.9319
0.9382,0.9047,0.9317,0.9207,0.9009,0.9302,0.9214,0.935,0.9352,0.9292
0.9361,0.9014,0.9309,0.9272,0.945,0.9502,0.9321,0.9303,0.9313,0.9377
0.9265,0.9402,0.9231,0.9258,0.9365,0.9374,0.938,0.928,0.9394,0.933
0.936,0.9355,0.9292,0.9392,0.9377,0.9346,0.9436,0.9391,0.9169,0.9355
0.927,0.9393,0.9387,0.9365,0.9474,0.9271,0.9302,0.9488,0.9343,0.9423
0.9478,0.9461,0.9419,0.9414,0.9325,0.9364,0.9449,0.9411,0.9422,0.9377
0.9324,0.936,0.9473,0.9528,0.9478,0.9507,0.9371,0.9303,0.9375,0.9333
0.9267,0.9413,0.9424,0.9352,0.9483,0.9418,0.9253,0.9379,0.9374,0.9368
0.9523,0.9436,0.9523,0.9435,0.9333,0.9361,0.9263,0.9384,0.9339,0.9229
0.9427,0.9442,0.9428,0.9558,0.9352,0.9451,0.9445,0.9377,0.9379,0.9444
0.9249,0.9417,0.9458,0.9485,0.9399,0.947,0.9325,0.9396,0.948,0.9425
0.9469,0.9395,0.9499,0.942,0.9415,0.9488,0.9525,0.9448,0.9364,0.9464
0.9521,0.9344,0.9331,0.9489,0.9447,0.9464,0.9456,0.9461,0.9484,0.9507
0.9495,0.9482,0.9378,0.9503,0.9508,0.9421,0.9475,0.9438,0.9469,0.9497
0.9436,0.9468,0.9536,0.9463,0.9296,0.9484,0.9445,0.9574,0.9549,0.9481
0.9517,0.9518,0.9469,0.955,0.9472,0.9514,0.9512,0.9553,0.9492,0.943
0.9551,0.9476,0.9401,0.9454,0.9449,0.9511,0.9539,0.9503,0.9537,0.9503
0.9497,0.9373,0.9519,0.954,0.9535,0.946,0.9473,0.9475,0.9506,0.941
0.9539,0.9506,0.9366,0.9469,0.9496,0.9452,0.9545,0.9476,0.9562,0.9393
0.9516,0.9496,0.9455,0.9552,0.9511,0.9542,0.9542,0.9559,0.9525,0.9538
0.949,0.9494,0.9537,0.9473,0.9495,0.9521,0.954,0.937,0.9446,0.9483
0.9525,0.9452,0.9469,0.95,0.9468,0.9406,0.9492,0.9548,0.9455,0.9407
0.9478,0.9524,0.951,0.9396,0.9457,0.9442,0.9568,0.9546,0.9492,0.9516
0.9438,0.9431,0.96,0.9531,0.9525,0.9521,0.9566,0.9387,0.9512,0.9406
0.9541,0.9451,0.9568,0.9565,0.9504,0.9518,0.95,0.9577,0.954,0.9557
0.9496,0.9488,0.9527,0.9533,0.9496,0.9565,0.9555,0.9501,0.9489,0.953
0.9561,0.9555,0.9466,0.9461,0.9478,0.9572,0.9512,0.9564,0.9556,0.9488
