LeastConfidence_run_1,LeastConfidence_run_2,LeastConfidence_run_3,LeastConfidence_run_4,LeastConfidence_run_5,LeastConfidence_run_6,LeastConfidence_run_7,LeastConfidence_run_8,LeastConfidence_run_9,LeastConfidence_run_10
0.1847,0.1732,0.1349,0.101,0.1009,0.1232,0.0892,0.099,0.2195,0.1073
0.2403,0.2301,0.3501,0.2202,0.2864,0.1035,0.1135,0.2426,0.3814,0.2173
0.3383,0.2042,0.3449,0.285,0.3436,0.1971,0.2158,0.3368,0.3292,0.2553
0.3255,0.1523,0.5322,0.3721,0.2779,0.3564,0.299,0.4048,0.4231,0.3567
0.5369,0.3763,0.4224,0.5259,0.4174,0.3516,0.5136,0.4656,0.5495,0.5371
0.6726,0.5444,0.3967,0.5675,0.4842,0.4392,0.4819,0.5533,0.5273,0.3285
0.6688,0.6006,0.5372,0.6889,0.5684,0.6461,0.7695,0.5084,0.5286,0.5499
0.6278,0.5729,0.5756,0.5434,0.6111,0.622,0.7369,0.7065,0.6595,0.6296
0.6462,0.7394,0.7274,0.7165,0.5747,0.6671,0.6971,0.7417,0.3846,0.6951
0.7941,0.684,0.7514,0.7175,0.7578,0.7539,0.7722,0.6323,0.7042,0.7311
0.7491,0.7976,0.8405,0.7577,0.7901,0.7375,0.8021,0.6827,0.7226,0.8188
0.7808,0.8292,0.8386,0.7673,0.8134,0.772,0.5871,0.7697,0.7938,0.7682
0.7394,0.7968,0.7993,0.8373,0.8517,0.7964,0.8448,0.763,0.8541,0.8308
0.8623,0.8068,0.84,0.8287,0.8515,0.8253,0.786,0.8165,0.8182,0.7971
0.837,0.8818,0.837,0.8175,0.8279,0.877,0.8726,0.8314,0.8373,0.8457
0.8667,0.8706,0.8789,0.8649,0.8579,0.8493,0.8515,0.8061,0.8516,0.8707
0.8479,0.8332,0.8563,0.8054,0.8711,0.8229,0.8821,0.8594,0.8737,0.872
0.8317,0.8621,0.9134,0.9078,0.8854,0.8965,0.8736,0.8014,0.86,0.8812
0.8748,0.8328,0.8911,0.867,0.8738,0.8879,0.882,0.8626,0.8086,0.8807
0.8727,0.9057,0.8744,0.895,0.8906,0.8997,0.896,0.9092,0.8875,0.8556
0.8945,0.9121,0.9007,0.8995,0.87,0.8962,0.8834,0.8738,0.891,0.9062
0.9061,0.9188,0.8892,0.9087,0.9115,0.9269,0.8691,0.9037,0.912,0.8803
0.8948,0.8844,0.9126,0.901,0.9086,0.916,0.9029,0.8777,0.9203,0.9087
0.9145,0.8949,0.9245,0.7913,0.8904,0.8871,0.9228,0.8608,0.8862,0.9222
0.9071,0.9135,0.9359,0.9227,0.8545,0.9161,0.9036,0.9271,0.8625,0.9158
0.9223,0.858,0.9138,0.9106,0.9119,0.8878,0.9059,0.9276,0.9174,0.9183
0.9265,0.9227,0.9219,0.9197,0.9221,0.9142,0.9087,0.9244,0.9074,0.9333
0.921,0.9249,0.9162,0.9222,0.9333,0.9214,0.9334,0.9362,0.9346,0.9015
0.9129,0.9007,0.919,0.9223,0.9288,0.9314,0.9191,0.907,0.9309,0.9239
0.9242,0.9339,0.8952,0.9419,0.9382,0.917,0.9337,0.9409,0.9367,0.92
0.9294,0.9339,0.9186,0.9395,0.9417,0.9399,0.9384,0.9296,0.9236,0.9294
0.9296,0.9352,0.9379,0.9418,0.9155,0.9301,0.9388,0.9338,0.9321,0.9319
0.9362,0.9314,0.9375,0.932,0.9278,0.9287,0.942,0.9324,0.9391,0.9368
0.9471,0.9392,0.94,0.9299,0.9195,0.94,0.9441,0.9368,0.9298,0.9283
0.945,0.9444,0.9316,0.9172,0.9469,0.9479,0.931,0.9384,0.9281,0.9352
0.9328,0.9432,0.9344,0.9433,0.9491,0.9401,0.947,0.9375,0.9285,0.9302
0.9491,0.9223,0.9462,0.9311,0.9467,0.9465,0.9375,0.9442,0.9425,0.9327
0.9419,0.9349,0.9434,0.945,0.9466,0.943,0.9459,0.9509,0.9423,0.9468
0.9462,0.9342,0.9424,0.9439,0.9531,0.9424,0.9423,0.9411,0.9473,0.9459
0.9246,0.9388,0.9381,0.9506,0.932,0.9392,0.9501,0.9368,0.9485,0.9396
0.9446,0.9487,0.9451,0.9518,0.9509,0.9442,0.9546,0.9483,0.9421,0.9452
0.9453,0.9426,0.9423,0.9461,0.9458,0.9433,0.951,0.9416,0.9454,0.9489
0.9531,0.9513,0.9498,0.9504,0.938,0.9503,0.9447,0.9476,0.9424,0.948
0.9403,0.9455,0.9486,0.9521,0.9571,0.945,0.9482,0.9464,0.9487,0.9432
0.9349,0.9431,0.9437,0.9476,0.9506,0.9557,0.9534,0.9421,0.9439,0.9407
0.9484,0.952,0.9495,0.9513,0.9507,0.9338,0.9514,0.9504,0.9398,0.9511
0.9415,0.9449,0.9449,0.9491,0.9457,0.9564,0.9503,0.9495,0.9506,0.9468
0.9492,0.9472,0.9423,0.9497,0.9571,0.9552,0.9529,0.9532,0.9502,0.9482
0.9457,0.951,0.9483,0.9475,0.9531,0.9516,0.9465,0.9481,0.9509,0.9553
0.953,0.9519,0.9501,0.9503,0.9473,0.9549,0.9504,0.9453,0.9524,0.944
